"","YEAR","SITE","namSite","MAS_LEAF","GAL_LEAF","NSP_LEAF","MAS_LEAF2","GAL_LEAF2","NSP_LEAF2","MAS_NL","GAL_NL","NSP_NL","GALL_NT","NGAL_NT","ANDRICUS","A_KINGI","A_FULLAW","A_PARMULA","A_CONFER","NEUROTER","N_SALT","ANTRON","A_DOUG","A_CLAVULA","NTREES","LAT","LONG"
"55",2004,11,"Dye Creek",0.0483,5.1089,0.6844,0.0471,4.766,0.5371,0.0075,0.8002,0.1029,0.2807,27.9231,0.031288,0.029776,0.000298,0.000609,0.000139,4.9e-05,4.9e-05,0.016782,0.015297,0.000907,13,40.13,122
"56",2002,11,"Dye Creek",0.0298,3.4973,0.3618,0.0298,3.482,0.3464,0.0048,0.5721,0.0495,0.1858,21.1818,0.026633,0.026107,1e-05,0.000517,0,8.2e-05,8.2e-05,0.00305,0.003035,0,11,40.13,122
"57",2003,12,"Sierra Foot",0.0065,1.0982,0.3589,0.0065,1.0982,0.3589,0.001,0.1595,0.054,0.0511,8.875,0.003383,0.000712,0.000194,0.000443,0.002034,0,0,0.003152,0.002826,0.000326,8,39.25,121.42
"58",2001,12,"Sierra Foot",0.0308,7.0574,0.5988,0.0285,7.014,0.5554,0.0089,1.7232,0.1279,0.1919,42.1429,0.026724,0.020019,7.1e-05,0.002411,0.004223,0.000535,0.000535,0.001226,0.001226,0,7,39.25,121.42
"59",2005,12,"Sierra Foot",0.0418,2.4333,0.4168,0.0092,1.9645,0.3934,0.0091,0.4327,0.0797,0.2716,15,0.007079,0.004481,0.000666,0.000508,0.001423,0.000174,0.000174,0.001914,0.001914,0,8,39.25,121.42
"60",2002,12,"Sierra Foot",0.0277,3.5061,0.5332,0.0276,3.4913,0.5184,0.0058,0.672,0.088,0.2149,26.1429,0.022577,0.021599,4.5e-05,0.000664,0.000269,9e-05,7.6e-05,0.004994,0.004994,0,7,39.25,121.42
"61",2006,12,"Sierra Foot",0.0276,1.9612,0.4022,0.014,1.6281,0.3062,0.0054,0.3403,0.0652,0.116,7,0.027467,0.013897,0,0,0,0.000106,0.000106,0,0,0,7,39.25,121.42
"62",2004,12,"Sierra Foot",0.0046,1.512,0.5777,0.0042,1.4275,0.5149,7e-04,0.2597,0.0964,0.02,6.625,0.002637,0.001051,0.000202,0.000949,0,0.000348,0.000348,0.001582,0.001103,0.00048,8,39.25,121.42
"63",2001,15,"Kaweah Oaks",0.1323,66.4767,0.5927,0.1316,65.0211,0.4971,0.0291,10.5177,0.0764,0.8225,369.375,0.106872,0.10598,0.000693,6.6e-05,0.000133,0.00917,0.00869,0.016008,0.016008,0,8,36.32,119.17
"64",2003,15,"Kaweah Oaks",0.1927,31.4061,0.9627,0.1922,31.2206,0.8154,0.0262,3.7211,0.1059,0.74,116.75,0.121056,0.10149,0.002246,0,0.017319,0.00132,0.00132,0.069792,0.067953,0.001839,8,36.32,119.17
"65",2002,15,"Kaweah Oaks",0.0687,81.5878,0.6594,0.0667,81.5513,0.6229,0.0093,8.9338,0.0762,0.2921,345.5,0.011388,0.010211,0.000314,3e-05,0.000832,0.010979,0.010979,0.046351,0.044379,0,8,36.32,119.17
"66",2000,15,"Kaweah Oaks",0.1752,98.4678,0.5727,0.1749,98.2397,0.4915,0.0279,20.236,0.1116,1.3937,692.1429,0.132831,0.13052,0.000207,0.000522,0.001582,0.013852,0.013852,0.028201,0.027958,0.000242,7,36.32,119.17
"67",2006,15,"Kaweah Oaks",0.2873,55.0542,0.6371,0.2805,53.3225,0.6371,0.0388,6.7039,0.088,0.893,160,0.269118,0.264857,0,0.001608,0.002653,0,0,0.011396,0.011396,0,6,36.32,119.17
"68",2004,15,"Kaweah Oaks",0.3288,41.2033,0.9957,0.3187,39.9795,0.7916,0.0717,9.2792,0.1929,1.8744,238.5714,0.2327,0.225274,0.001594,0.00039,0.004019,0.000641,0.000641,0.086755,0.084722,0.002034,7,36.32,119.17
"69",2005,15,"Kaweah Oaks",0.3858,49.6466,0.857,0.3558,49.0451,0.8181,0.0624,7.8701,0.1339,1.7596,224.4286,0.291989,0.282327,0.002225,0.000136,0.007223,7e-06,7e-06,0.063933,0.063541,0.000393,7,36.32,119.17
