collection,code,genus,species,date,SiteTemp,Tree host,gall host,Notes,phenophase,lifestage,viability
243,42,Quercus,bicolor,5/18/2016,Pentacrest,Swamp White Oak,Andricus quercuspetiolicola,"large swelling on the midrib, green and almost looks like a crab apple, projects on both side of the leaf, round, Not A. quercuspetiolicola, further up on leaf. Usually appearing on leafs all on one end of a twig",dormant,,viable
247,43,Quercus,rubra,5/20/2016,Kent Park,Red Oak,Melikaiella tumifica,"swelling of midrib underneath leaf, near base of leaf",dormant,,viable
248,38,Quercus,falcata,5/20/2016,Kent Park,Spanish Oak?,Dryocosmus quercuspalustris,no exit holes yet,dormant,,viable
250,44,Quercus,alba,5/20/2016,Kent Park,White Oak,Neuroterus quercusirregularis,"integral musltchambered gall, green/redish on white oaks",dormant,,viable
251,44,Quercus,alba,5/20/2016,Kent Park,White Oak,Neuroterus quercusirregularis,some exit holes present,perimature,,viable
253,42,Quercus,bicolor,5/20/2016,Kent Park,Swamp white Oak,Andricus quercuspetiolicola,,dormant,,viable
257,38,Quercus,falcata,5/20/2016,Kent Park,Spanish Oak,Amphibolips confluenta?,"cut opne, no radiating fibers",dormant,,viable
265,7,Quercus,macrocarpa,5/26/2016,"City Park , Iowa City IA (41.676, -91.539)",Bur Oak,Andricus foliaformis,"grean bracts emerging from leave above and below, rossette appearance",dormant,,viable
269,42,Quercus,bicolor,5/26/2016,"City Park , Iowa City IA (41.676, -91.539)",Swamp White Oak,Andricus quercuspetiolicola,,dormant,,viable
270,42,Quercus,bicolor,5/26/2016,"City Park , Iowa City IA (41.676, -91.539)",Swamp White Oak,Andricus quercuspetiolicola,,dormant,,viable
272,48,Quercus,palustris,5/26/2016,"City Park , Iowa City IA (41.676, -91.539)",Pin Oak,Midge gall?,"swelling on edge of leav, similar in look to Macrodiplosis quercusqoruca., often appearing together",dormant,,viable
281,42,Quercus,bicolor,5/27/2016,"City Park , Iowa City IA (41.676, -91.539)",Swamp White Oak,Andricus quercuspetiolicola,,dormant,,viable
288,38,Quercus,imbricaria,5/18/2016,Pentacrest,Shingle Oak,Dryocosmus quercuspalustris,"were mushy and soft, but something emerged, free rolling cell inside",dormant,,viable
293,41,Quercus,imbricaria,6/6/2016,Pentacrest,Shingle Oak,Callirhytis quercusventricosa,"twig gall, starting to turn brown, fell drier and not as soft as ones collected earlier",dormant,,viable
294,49,Quercus,imbricaria,6/6/2016,Pentacrest,Shingle Oak,Callirhtyis scitula,"abrupt swelling at bas of new years growth bearing several leaves, not symmetrical. Similar in location to C.clavula",dormant,,viable
296,10,Quercus,alba,6/6/2016,Pentacrest,White Oak,Andricus quercuspetiolicola,"swelling at base of leaf, only bearing one. Looks like something tried to get into one of the galls",dormant,,viable
304,40,Quercus,alba,6/10/2016,Hickory Hills Park,White Oak,Andricus quercusutriculus,3 with exit holes already,perimature,,viable
305,51,Quercus,alba,6/10/2016,Hickory Hills Park,White Oak,Callirhytis futilis?,"Blister, projecting on both sides of the leaf, round",dormant,,viable
306,42,Quercus,alba,6/10/2016,Hickory Hills Park,White Oak,Andricus quercuspetiolicola,maybe? Potentially A. wuercuspeticola,dormant,,viable
313,12,Quercus,rubra,6/10/2016,Willow Creek Park,Red oak,callirhtyis favosa?,falttened parenchyma thickening,dormant,,viable
319,42,Quercus,bicolor,6/17/2016,Kent Park,Swamp White Oak,Andricus quercuspetiolicola,,dormant,,viable
340,42,Quercus,bicolor,6/24/2016,"City Park , Iowa City IA (41.676, -91.539)",Swamp White Oak,Andricus quercuspetiolicola,each have at least one exit hole already,perimature,,viable
341,53,Quercus,bicolor,6/24/2016,"City Park , Iowa City IA (41.676, -91.539)",Swamp White Oak,Neuroterus quercusbatatus,"sexual generation, thicking on midrib causing leaf to curl under, found in june supoosly can find in May, exit holes present",perimature,,viable
343,53,Quercus,bicolor,6/24/2016,"City Park , Iowa City IA (41.676, -91.539)",Swamp White Oak,unkown,"twig swelling, green bearing multiple leaves, irregular shaped",dormant,,viable
344,53,Quercus,bicolor,6/24/2016,"City Park , Iowa City IA (41.676, -91.539)",Swamp White Oak,unknown,"twig swelling, green, small",dormant,,viable
369,53,Quercus,bicolor,6/29/2016,"City Park , Iowa City IA (41.676, -91.539)",Swamp White Oak,Neuroterus quercusbatatus,,perimature,,viable
370,42,Quercus,bicolor,6/29/2016,"City Park , Iowa City IA (41.676, -91.539)",Swamp White Oak,Andricus quercuspetiolicola,exit holes present,perimature,,viable
397,21,Quercus,bicolor,7/11/2016,Clarkston MI,Swamp white oak ,Neuroterus saltarius,,dormant,,viable
400,16,Quercus,rubra,7/12/2016,"Traverse City, backyard",Red oak,Melikaiella ostensackeni,some exit holes,perimature,,viable
470,2,Quercus,alba,8/10/2016,Medical campus Iowa City IA,White Oak,Acraspis erinacei,,dormant,,viable
482,1,Quercus,macrocarpa,8/12/2016,Hickory Hills Park,Bur Oak,Acraspis macrocarpae,,dormant,,viable
499,20,Quercus,bicolor,8/18/2016,"City Park , Iowa City IA (41.676, -91.539)",Swamp White Oak,Disholcaspis quercusmamma,"all new galls, each had ants guarding it",dormant,,viable
500,11,Quercus,bicolor,8/18/2016,"City Park , Iowa City IA (41.676, -91.539)",Swamp White Oak,Andricus quercusstrobilanus?,"took segments of cluster galls off of terminal branches, large range in size and development. Some exit holes present on the smaller galls, most with out any",perimature,,viable
510,7,Quercus,macrocarpa,8/18/2016,"City Park , Iowa City IA (41.676, -91.539)",Bur Oak,Andricus foliaformis,all have some exit holes present,perimature,,viable
520,2,Quercus,alba,8/19/2016,"City Park , Iowa City IA (41.676, -91.539)",White Oak,Acraspis erinacei,,dormant,,viable
527,11,Quercus,bicolor,8/24/2016,Waterworks prairie park,Swamp White Oak,Andricus quercusstrobilanus?,turn brown after wasp emerge? (all the ones with exit hole darker in color),perimature,,viable
535,65,Quercus,stellata,9/2/2016,Forest park/ST.louis MO,Post Oak,Atrusca quercuscentricola,"spotted oak apples, underneath leaf, velvty to touch",dormant,,viable
536,19,Quercus,stellata,9/2/2016,Forest park/ST.louis MO,Post OAk,Disholcaspis quercusglobulus,"round bullet galls?, seem rougher than ones found on White oak, not as smooth, tend to be more green in color where as on white oak tend to be yellow",dormant,,viable
538,66,Quercus,stellata,9/2/2016,Forest park/ST.louis MO,Post oak ,Andricus biconicus,"cluster at petiole of leaf, light brown and slightly pointed",dormant,,viable
546,19,Quercus,alba,9/3/2016,Bob Noble Park/Peducah KY,White Oak,Disholcaspis quercusglobulus,all new galls,dormant,,viable
555,19,Quercus,stellata,9/3/2016,Bob Noble Park/Peducah KY,Post Oak,Disholcaspis quercusglobulus,"turn grey as dry, slightly rougher texture than bullet galls on white oak",dormant,,viable
