"longitude","latitude","doy","seasind","acchours"
-100,49,30,0,0
-95,31,30,0.0433245552295319,544.88104036243
-95,33,30,0.0382071163707738,421.04364263716
-95,35,30,0.0323343836861686,303.58157453217
-95,39,30,0.0176247580281691,90.6818082240328
-95,41,30,0.00829900651131866,2.00305701006256
-95,43,30,0.00166349540779202,0
-95,45,30,0,0
-95,47,30,0,0
-95,49,30,0,0
-90,31,30,0.0433245552295319,544.88104036243
-90,33,30,0.0382071163707738,421.04364263716
-90,35,30,0.0323343836861686,303.58157453217
-90,39,30,0.0176247580281691,90.6818082240328
-90,41,30,0.00829900651131866,2.00305701006256
-90,43,30,0.00166349540779202,0
-90,45,30,0,0
-85,31,30,0.0433245552295319,544.88104036243
-85,33,30,0.0382071163707738,421.04364263716
-85,35,30,0.0323343836861686,303.58157453217
-85,39,30,0.0176247580281691,90.6818082240328
-85,41,30,0.00829900651131866,2.00305701006256
-85,43,30,0.00166349540779202,0
-85,45,30,0,0
-80,33,30,0.0382071163707738,421.04364263716
-80,35,30,0.0323343836861686,303.58157453217
-80,39,30,0.0176247580281691,90.6818082240328
-80,41,30,0.00829900651131866,2.00305701006256
-75,39,30,0.0176247580281691,90.6818082240328
-75,41,30,0.00829900651131866,2.00305701006256
-75,43,30,0.00166349540779202,0
-70,45,30,0,0
-100,29,37,0.060889641194414,857.895302271616
-100,31,37,0.0555350821657436,695.976161169847
-100,33,37,0.0494339428726707,540.722230126833
-100,35,37,0.0424337424857691,393.010022033825
-100,39,37,0.0249065524955176,123.878587526406
-100,41,37,0.0137963850468163,9.61278392123845
-100,43,37,0.00498834210437095,0
-100,45,37,0.000825782068391557,0
-100,47,37,0,0
-100,49,37,0,0
-95,31,37,0.0555350821657436,695.976161169847
-95,33,37,0.0494339428726707,540.722230126833
-95,35,37,0.0424337424857691,393.010022033825
-95,39,37,0.0249065524955176,123.878587526406
-95,41,37,0.0137963850468163,9.61278392123845
-95,43,37,0.00498834210437095,0
-95,45,37,0.000825782068391557,0
-95,47,37,0,0
-95,49,37,0,0
-90,31,37,0.0555350821657436,695.976161169847
-90,33,37,0.0494339428726707,540.722230126833
-90,35,37,0.0424337424857691,393.010022033825
-90,39,37,0.0249065524955176,123.878587526406
-90,41,37,0.0137963850468163,9.61278392123845
-90,43,37,0.00498834210437095,0
-90,45,37,0.000825782068391557,0
-85,31,37,0.0555350821657436,695.976161169847
-85,33,37,0.0494339428726707,540.722230126833
-85,35,37,0.0424337424857691,393.010022033825
-85,39,37,0.0249065524955176,123.878587526406
-85,41,37,0.0137963850468163,9.61278392123845
-85,43,37,0.00498834210437095,0
-85,45,37,0.000825782068391557,0
-80,33,37,0.0494339428726707,540.722230126833
-80,35,37,0.0424337424857691,393.010022033825
-80,39,37,0.0249065524955176,123.878587526406
-80,41,37,0.0137963850468163,9.61278392123845
-75,39,37,0.0249065524955176,123.878587526406
